id,project_name,lon,lat,laccPriority,Population,-- URBAN WATER SOURCES --,Groundwater (%),Surface Water (%),Desalination/Other (%),-- WATER QUANTITY RISK --,Annual Water Stress Category,Annual Water Stress Index,Seasonal Water Stress Category,Seasonal Water Stress Index,-- WATER QUALITY RISK --,Annual Phosphorous Yield Category,Annual Phosphorous Yield (kg/km^2),Annual Sediment Yield Category,Annual Sediment Yield (tons/km^2),-- WATER QUALITY OPPORTUNITY --,Return on Investment Category,Return on Investment,Forest Protection: Phosphorous Category,Forest Protection: Phosphorous,Forest Protection: Sediment Category,Forest Protection: Sediment,Reforestation: Phosphorous Category,Reforestation: Phosphorous,Reforestation: Sediment Category,Reforestation: Sediment,Riparian Restoration: Phosphorous Category,Riparian Restoration: Phosphorous,Riparian Reforestation: Sediment Category,Riparian Restoration: Sediment,-- FLOOD MITIGATION --,Riverine Flood Mitigation City Ranking Category,Riverine Flood Mitigation City Ranking,Urban Population Exposed to Riverine Flooding,Biophysical Opportunity to Mitigate Riverine Flooding,Stormwater Flood Mitigation City Ranking,default
city17,Córdoba,-64.183333,-31.42,No,1654039,0,0,100,0,0,Not Stressed,0.235,Stressed,1,0,Medium,0.21,High,961,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,61,116764,2.21,37,1
city18,Cúcuta,-72.5351028,7.89,No,861690,0,0,100,0,0,Not Stressed,0.027,Stressed,0.960862898,0,Medium,0.09,High,2034,0,High,12.287,Low Potential,507.4,Low Potential,116.2,High Potential,0.5,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Very High,12,520,3.02,46,1
city19,Curitiba,-49.2645988,-25.46,Priority,3467587,0,0,100,0,0,Not Stressed,0.035,Stressed,1,0,High,3.67,High,325,0,High,51.815,Medium Potential,42.9,High Potential,3.1,High Potential,0.2,High Potential,0.62,Insufficient Scope,,Insufficient Scope,,0,Low ,49,271083,2.22,4,1
city20,Florianópolis,-48.5931015,-27.59,No,1172257,0,0,100,0,0,Not Stressed,0.067,Not Stressed,0.330563878,0,High,0.33,High,1749,0,High,1.142,Low Potential,121.8,Low Potential,207.3,High Potential,5.8,High Potential,4.57,Insufficient Scope,,Insufficient Scope,,0,Very High,8,218496,3.45,30,1
city21,Fortaleza,-38.5265007,-3.73,No,3878369,0,0,100,0,0,Stressed,1,Stressed,1,0,High,6.08,High,597,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Medium,31,1190749,2.4,31,1
city22,Goiânia,-49.2874985,-16.71,Priority,2281808,0,25,75,0,0,Not Stressed,0.067,Stressed,1,0,High,0.29,High,550,0,Medium,0.219,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Low Potential,139.08,Medium Potential,64.3,0,Low ,53,21027,2.22,5,1
city23,Grande Vitória,-40.2980003,-20.3,Priority,1816111,0,0,100,0,0,Stressed,0.462,Stressed,1,0,Medium,0.14,High,533,0,Medium,0.254,Low Potential,570,Low Potential,414.3,Insufficient Scope,,Insufficient Scope,,Medium Potential,51.42,Insufficient Scope,,0,Very High,6,383424,2.82,8,1
city24,Guadalajara,-103.3499985,20.68,No,4868678,0,32,68,0,0,Not Stressed,0.105,Stressed,1,0,High,0.47,Medium,113,0,Low,0.017,Insufficient Scope,,Low Potential,456.3,Low Potential,1570,Low Potential,955.18,Insufficient Scope,,Insufficient Scope,,0,Medium,41,103,2.52,40,1
city25,Guatemala City,-90.5926971,14.59,Priority,1362206,0,50,50,0,0,Not Stressed,0.035,Stressed,1,0,High,2.1,High,1107,0,High,1.682,Low Potential,201.1,Medium Potential,26.2,High Potential,2.5,Medium Potential,32.35,Insufficient Scope,,Insufficient Scope,,0,Low ,48,339091,2.36,54,1
city26,Guayana City,-62.5782013,8.3,No,610514,0,0,100,0,0,Not Stressed,0.001,Not Stressed,0.002394495,0,Low,0,Medium,57,0,Medium,0.937,Insufficient Scope,,Low Potential,3628.8,High Potential,5.8,Low Potential,664.56,Insufficient Scope,,Insufficient Scope,,0,Low ,51,233304,2.37,42,1
city27,Guayaquil,-79.9061966,-2.2,No,2375062,0,0,100,0,0,Not Stressed,0.127,Stressed,1,0,Medium,0.06,High,330,0,Medium,0.105,Insufficient Scope,,Insufficient Scope,,Low Potential,439.2,Insufficient Scope,,Low Potential,885.37,Low Potential,147.4,0,Medium,30,1424401,2.45,14,1
city28,Havana,-82.3797989,23.13,Priority,2071462,0,25,75,0,0,Stressed,1,Stressed,1,0,High,6.79,High,1598,0,Medium,0.686,Insufficient Scope,,Insufficient Scope,,High Potential,1.8,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,High,18,849122,2.71,45,1
city29,João Pessoa,-34.9734001,-7.12,Priority,1204214,0,25,75,0,0,Not Stressed,0.243,Stressed,1,0,High,16.54,Medium,87,0,Medium,0.946,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Medium Potential,12.39,Insufficient Scope,,0,High,23,77515,2.8,32,1
