FID_,NAME,City_ID,ISOURBID,WUP_code,POINT_X,POINT_Y,lon,lat
,Bel?m,521,BRA58414,20182,-48.384317398000000,-1.391302126880000,-48.3843002,-1.3913000
,S?o Luis,524,BRA58638,20286,-44.231719632100003,-2.576099899480000,-44.2317009,-2.5761001
,Natal,525,BRA59531,20251,-35.253408432000001,-5.886889422740000,-35.2533989,-5.8868899
,Jo?o Pessoa,527,BRA60106,20230,-34.973350524700002,-7.124670029000000,-34.9734001,-7.1246700
,Macei¢,526,BRA60875,20243,-35.840467453000002,-9.544543797730000,-35.8404999,-9.5445404
,Goi?nia,520,BRA62338,20214,-49.287506103500000,-16.708003044000002,-49.2874985,-16.7080002
,Curitiba,518,BRA64475,20205,-49.264635748499998,-25.455805472800002,-49.2645988,-25.4557991
,Ciudad de Guatemala,532,GTM54390,21124,-90.592741612500006,14.588851003500000,-90.5926971,14.5888996
,Tijuana,542,MEX40283,21871,-117.028042129000000,32.410472951599999,-117.0279999,32.4104996
,Juarez,537,MEX42556,21830,-106.466383627000000,31.655604561899999,-106.4660034,31.6555996
,Torreon,544,MEX47919,21873,-103.394389530000000,25.634874001899998,-103.3939972,25.6348991
,San Luis Potosí,541,MEX50430,21866,-100.870834351000000,22.141995430000001,-100.8710022,22.1420002
,Merida,538,MEX51073,21851,-89.570835113499996,20.996161461000000,-89.5708008,20.9962006
,Queretaro,540,MEX51292,21863,-100.422922134999990,20.646162033000000,-100.4229965,20.6462002
,Toluca,543,MEX52033,21872,-99.597726216900000,19.298950558400001,-99.5977020,19.2989998
,Puebla de Zaragoza,539,MEX52038,21862,-98.289585113499996,19.154495239500001,-98.2895966,19.1544991
,CARTAGENA,534,COL55721,20813,-75.428665611699998,10.347162603199999,-75.4287033,10.3472004
,CUCUTA,535,COL56637,20816,-72.535113012099998,7.889562395230000,-72.5351028,7.8895602
,BUCARAMANGA,517,COL56853,20809,-73.118256373899996,7.092981449480000,-73.1183014,7.0929799
,San Salvador,536,SLV54637,20917,-89.216670989999997,13.746162414500001,-89.2166977,13.7461996
,Campinas,519,BRA63810,20190,-47.053552323399998,-22.911254000000000,-47.0536003,-22.9113007
,Grande Vitória,522,BRA62980,20305,-40.297960757500000,-20.298135053900001,-40.2980003,-20.2980995
,Santos,523,BRA64172,20281,-46.334912242500003,-23.954928676600002,-46.3348999,-23.9549007
,Valencia,528,VEN55665,23233,-67.995700404199994,10.158980000000000,-67.9956970,10.1590004
,Barcelona,530,VEN55808,0,-64.680600161699999,10.144691134700000,-64.6806030,10.1447001
,Valparaíso,533,VEN55808,205344,-71.619995648200003,-33.046716242499997,-71.6200027,-33.0466995
,Mendoza,545,ARG66235,20068,-68.841007053900000,-32.893445999999997,-68.8410034,-32.8933983
